prompt,label
"Design a canary release process with automated rollback triggers for a customer-facing API.",strong
"Help me reason through build versus buy for a feature store given team size, compliance, and roadmap.",strong
"Investigate why search relevance dropped after adding semantic retrieval on top of keyword search.",strong
"Create a debugging plan for intermittent websocket disconnects across mobile networks and browsers.",strong
"Design a cost-aware LLM orchestration layer with caching, retries, tiered models, and audit logs.",strong
"Review this IAM policy setup and identify least-privilege gaps and risky escalation paths.",strong
"Explain how to harden a FastAPI service for production including auth, rate limiting, secrets, and logging.",strong
"Plan the data model and workflow for a marketplace with disputes, refunds, and escrow-style payouts.",strong
"Diagnose a deadlock pattern in MySQL transactions and propose code and schema changes to reduce it.",strong
"Design an experimentation platform that supports guardrail metrics, sequential testing, and segmentation.",strong
"Create an evaluation rubric for code-generation LLM outputs that includes correctness, safety, and maintainability.",strong
"Help me redesign a brittle ETL pipeline into a resilient workflow with retries, backfills, and lineage.",strong
"Analyze a sudden spike in p99 latency for our API and describe the order of checks you would perform.",strong
"Propose a privacy-preserving analytics architecture for healthcare usage data.",strong
"Debug why our model-serving GPU nodes are underutilized while request latency is still high.",strong
"Design a tenant-aware rate limiting strategy for a public API with free and enterprise plans.",strong
"Create a migration strategy from synchronous request processing to async jobs for report generation.",strong
"Review this microservice boundary proposal and call out likely coupling and ownership failures.",strong
"Plan a red-team exercise for prompt injection risks in an enterprise knowledge assistant.",strong
"Diagnose why a stream processing job sometimes duplicates outputs after consumer rebalances.",strong
"Design a feedback loop for capturing routing mistakes and using them to retrain the classifier safely.",strong
"Compare PostgreSQL full-text search, Elasticsearch, and vector search for a complex enterprise search product.",strong
"Propose a token budgeting strategy for long-context LLM workflows with summarization and tool use.",strong
"Create an architecture for a real-time fraud detection service with explainability and fallback rules.",strong
"Investigate why background jobs pile up overnight despite stable request volume during the day.",strong
"Design an internal platform for teams to register prompts, evaluations, model budgets, and approval workflows.",strong
"Help me debug memory fragmentation or leak behavior in a long-running Python inference process.",strong
"Create a governance plan for introducing AI features into a regulated financial product.",strong
"Analyze the tradeoffs of fine-tuning versus retrieval for domain-specific customer support automation.",strong
"Design a change-data-capture pipeline into a warehouse with late-arriving data correction.",strong
"Propose a strategy for testing disaster recovery failover across regions without hurting customers.",strong
"Investigate a mismatch between billing events and product usage logs and propose reconciliation steps.",strong
"Create a scaling plan for a chat system expected to grow from 10k to 5M daily active users.",strong
"Design a secrets management approach for local development, CI, and production across multiple teams.",strong
"Review the failure modes of an LLM tool-calling workflow that can create tickets, send emails, and update records.",strong
"Diagnose why our cached responses reduce cost but sometimes lower answer quality in subtle ways.",strong
"Design a benchmarking process for deciding which local models should serve weak versus moderate prompts.",strong
"Create a phased roadmap for taking an LLM prototype to production with security and evaluation gates.",strong
"Help me reason about tenancy, encryption, and audit requirements for storing prompt and response logs.",strong
"Investigate why feature flag rollouts cause unexpected load spikes in downstream services.",strong
"Design a high-availability scheduler for periodic jobs with deduplication and leader election.",strong
"Review this SRE on-call setup and suggest improvements for alerts, ownership, and escalation quality.",strong
"Plan a zero-downtime database migration for a heavily used table with legacy clients still active.",strong
"Diagnose intermittent timeout errors between services where traces are incomplete and retries mask the issue.",strong
"Design a safety policy and enforcement workflow for model-generated outbound communications.",strong
"Compare different storage strategies for embeddings when data freshness and deletion guarantees matter.",strong
"Create a technical due diligence checklist for evaluating an acquisition target's platform reliability.",strong
"Help me plan schema, caching, and read models for a complex collaborative document editor.",strong
"Investigate why a moderation classifier has rising false positives after a product expansion to new languages.",strong
"Design a resilient payment retry strategy that avoids duplicate charges and preserves user trust.",strong
"Review our plan for agentic workflows in customer support and identify human-in-the-loop checkpoints.",strong
"Create an approach for measuring hallucinations in an internal Q&A assistant without a perfect ground truth.",strong
"Diagnose why a batch job occasionally misses partitions after daylight saving and scheduler changes.",strong
"Design a model routing control plane with policy rules, shadow traffic, and per-team budgets.",strong
